#         t          x          y          z         vx         vy         vz
      0.000   -476.220    491.420   -412.430     43.690    101.480    140.780
      0.071   -472.980    498.950   -402.050     48.640    107.560    147.750
      0.143   -469.300    506.760   -391.410     58.530    111.800    150.750
      0.214   -465.060    515.040   -380.300     63.040    116.700    160.040
      0.286   -460.100    523.460   -368.450     72.200    124.560    171.960
      0.357   -454.540    532.580   -355.730     81.670    129.660    183.850
      0.429   -448.070    541.940   -342.370     95.090    134.170    191.330
      0.500   -440.880    551.430   -328.520    107.100    134.250    201.940
      0.571   -432.480    561.130   -313.960    130.950    137.470    211.960
      0.643   -422.390    570.870   -298.360    151.930    135.220    223.200
      0.714   -410.500    580.370   -281.680    177.950    127.550    236.620
      0.786   -396.730    588.890   -264.620    205.090    113.150    241.830
      0.857   -380.920    596.310   -247.090    237.950     92.890    248.120
      0.929   -362.740    601.810   -229.380    263.870     60.800    246.700
      1.000   -343.280    605.110   -212.110    279.480     31.910    236.980
      1.071   -323.140    606.330   -195.640    287.170      2.210    221.060
      1.143   -302.670    605.510   -180.460    287.160    -25.370    203.790
      1.214   -282.260    602.790   -166.480    281.460    -52.390    186.780
      1.286   -262.510    598.360   -153.570    272.400    -69.130    174.640
      1.357   -243.400    592.950   -141.400    263.640    -81.160    164.360
      1.429   -224.810    586.620   -130.090    254.920    -96.380    149.850
      1.500   -207.060    579.240   -119.900    244.400   -106.660    140.050
      1.571   -189.850    571.290   -110.320    236.230   -115.340    129.920
      1.643   -173.330    562.810   -101.440    227.160   -121.920    121.490
      1.714   -157.440    553.800    -93.120    217.550   -130.810    112.780
      1.786   -142.210    544.250    -85.380    207.870   -135.480    105.250
      1.857   -127.700    534.400    -78.090    199.870   -141.600     97.290
      1.929   -113.670    524.080    -71.440    192.270   -146.940     91.120
      2.000   -100.290    513.280    -65.170    183.310   -154.280     84.630
      2.071    -87.640    502.080    -59.290    171.730   -157.670     79.710
      2.143    -75.620    490.770    -53.890    166.710   -158.320     72.610
      2.214    -64.010    479.340    -48.930    156.490   -162.050     67.890
      2.286    -52.960    467.590    -44.170    151.180   -165.360     64.310
      2.357    -42.420    455.630    -39.850    145.200   -169.460     59.320
      2.429    -32.360    443.400    -35.710    135.570   -170.710     56.380
      2.500    -23.050    431.100    -31.790    125.580   -175.740     52.650
      2.571    -14.380    418.440    -28.170    117.000   -179.490     46.560
      2.643     -6.240    405.450    -24.990    110.800   -185.200     43.920
      2.714      1.400    392.090    -22.030    104.110   -187.150     37.160
      2.786      8.550    378.730    -19.470     97.300   -189.810     33.980
      2.857     15.200    364.890    -17.110     87.800   -196.390     29.900
      2.929     21.000    350.690    -15.140     78.740   -199.800     26.280
      3.000     26.230    336.290    -13.490     68.350   -203.180     21.910
      3.071     30.740    321.630    -11.820     57.880   -208.600     19.630
      3.143     34.590    306.550    -10.580     47.830   -213.810     14.210
      3.214     37.540    291.130     -9.900     36.440   -217.790      9.270
      3.286     39.530    275.340     -9.440     21.700   -223.690      4.080
      3.357     40.500    259.250     -9.330      5.590   -227.410      0.220
      3.429     40.240    242.810     -9.560    -14.070   -231.430     -6.780
      3.500     38.600    226.040    -10.320    -31.120   -238.110    -14.350
      3.571     35.610    208.770    -11.580    -54.310   -244.430    -20.760
      3.643     30.880    191.180    -13.380    -79.840   -246.050    -31.470
      3.714     23.950    173.650    -16.040   -113.730   -243.590    -44.270
      3.786     14.510    156.640    -19.630   -151.810   -232.040    -56.150
      3.857      2.430    140.760    -24.260   -187.220   -210.160    -71.150
      3.929    -12.120    126.720    -29.620   -219.170   -178.240    -80.800
      4.000    -28.680    115.660    -35.710   -247.040   -129.370    -85.500
      4.071    -47.000    108.350    -41.700   -259.370    -70.480    -79.860
      4.143    -65.320    105.750    -46.960   -249.910     -1.550    -66.140
      4.214    -82.110    108.250    -50.950   -218.380     68.110    -48.060
      4.286    -96.040    115.240    -53.670   -166.680    123.570    -28.510
      4.357   -105.670    125.340    -54.990   -105.150    154.900     -9.140
      4.429   -111.070    137.030    -55.010    -47.180    168.980      6.610
      4.500   -112.620    149.110    -54.180      0.720    169.320     16.290
      4.571   -111.120    161.100    -52.670     39.350    165.130     25.100
      4.643   -107.030    172.670    -50.690     71.980    159.740     30.220
      4.714   -100.780    183.810    -48.140    101.180    153.220     38.350
      4.786    -92.650    194.560    -45.040    126.670    145.620     48.700
      4.857    -82.790    204.720    -41.120    147.890    137.820     58.830
      4.929    -71.570    214.070    -36.430    165.650    129.890     72.050
      5.000    -59.080    223.310    -30.800    183.970    124.110     86.050
      5.071    -45.350    232.090    -23.970    205.820    121.400    107.020
      5.143    -29.770    240.430    -15.160    230.770    113.690    144.930
      5.214    -12.430    247.810     -2.500    255.470     86.270    212.860
      5.286      5.490    250.950     15.340    232.170     -6.180    276.550
      5.357     20.070    247.430     34.840    179.570    -80.560    259.400
      5.429     31.540    240.460     51.960    142.790   -112.000    220.970
      5.500     40.590    231.720     66.300    117.050   -131.680    185.190
      5.571     48.540    221.870     78.690     95.740   -142.290    155.470
      5.643     54.260    211.390     88.260     78.130   -150.040    126.870
      5.714     59.270    200.340     96.680     62.450   -158.060    104.930
      5.786     63.260    188.900    103.420     49.260   -162.590     81.810
      5.857     66.390    177.120    108.420     33.880   -167.830     58.920
      5.929     68.400    165.140    111.800     20.570   -167.210     36.030
      6.000     69.510    153.140    113.460      7.500   -168.930     11.790
      6.071     69.660    141.250    113.490     -3.940   -165.880    -10.800
      6.143     69.420    129.690    112.220    -19.750   -160.550    -37.220
      6.214     67.710    118.500    108.460    -31.500   -155.080    -65.870
      6.286     64.280    107.670    102.290    -48.540   -142.220    -97.860
      6.357     60.410     98.090     94.090    -63.450   -125.090   -130.960
