#         t          x          y          z         vx         vy         vz
      0.000     -0.890      2.410     -1.420     -0.600      3.060     -1.060
      0.071     -1.180      2.460     -1.480     -2.390      5.090     -0.520
      0.143     -1.550      2.760     -1.560     -4.340      7.980     -0.860
      0.214     -2.040      3.290     -1.600     -4.500      8.450      0.040
      0.286     -2.490      3.720     -1.550     -5.460      6.470      0.260
      0.357     -2.600      4.360     -1.580     -7.300      7.610      0.450
      0.429     -3.050      4.840     -1.640     -8.900     12.320     -1.890
      0.500     -3.490      5.550     -1.820     -4.100      9.590     -2.370
      0.571     -3.630      6.160     -2.040     -3.330      5.930     -2.520
      0.643     -4.060      6.570     -2.210     -5.960      5.820     -1.380
      0.714     -4.480      7.150     -2.290     -7.820      7.020     -1.720
      0.786     -4.980      8.080     -2.540     -7.250     11.530     -6.410
      0.857     -5.140      8.200     -3.190     -9.840      7.640     -9.450
      0.929     -6.010      9.610     -3.650    -12.020     11.560     -8.540
      1.000     -6.760     10.150     -4.300     -7.520     11.750     -8.670
      1.071     -6.990     10.960     -4.880     -4.870     11.010     -8.890
      1.143     -7.510     11.930     -5.620     -7.370     16.820    -11.690
      1.214     -8.110     13.150     -6.380     -7.060     15.570    -10.710
      1.286     -8.780     14.430     -7.150    -10.160     17.040    -10.220
      1.357     -9.330     15.900     -7.950    -10.340     18.430    -11.160
      1.429    -10.000     17.100     -8.820    -10.470     15.860    -13.640
      1.500    -10.660     18.300     -9.830    -12.700     19.930    -14.620
      1.571    -11.450     19.770    -10.850    -10.320     23.300    -15.740
      1.643    -12.290     21.460    -11.790    -13.580     25.060    -12.760
      1.714    -13.280     23.350    -12.740    -12.590     26.980    -13.850
      1.786    -14.370     25.250    -13.750    -14.310     27.450    -15.340
      1.857    -15.300     27.300    -14.810    -16.910     26.350    -14.350
      1.929    -16.620     29.310    -15.780    -23.900     29.780    -14.430
      2.000    -18.220     31.610    -16.870    -24.200     35.420    -16.070
      2.071    -19.810     34.240    -18.000    -21.610     40.000    -16.410
      2.143    -21.310     37.050    -19.180    -16.920     40.110    -16.420
      2.214    -22.760     39.890    -20.440    -19.340     39.200    -19.600
      2.286    -24.360     42.760    -21.840    -23.020     39.860    -19.580
      2.357    -25.960     45.890    -23.160    -23.480     42.570    -19.600
      2.429    -27.660     49.080    -24.490    -24.610     44.210    -19.680
      2.500    -29.340     52.350    -25.880    -23.440     49.840    -20.110
      2.571    -31.040     55.990    -27.360    -24.630     53.400    -21.190
      2.643    -32.860     59.760    -28.770    -26.210     54.470    -19.760
      2.714    -34.810     63.560    -30.280    -26.270     56.160    -22.020
      2.786    -36.920     67.690    -31.900    -28.300     59.610    -23.890
      2.857    -39.070     72.130    -33.620    -31.000     63.230    -24.180
      2.929    -41.210     76.830    -35.390    -30.540     66.910    -27.770
      3.000    -43.300     81.870    -37.410    -30.990     72.490    -29.160
      3.071    -45.430     87.350    -39.430    -31.420     79.310    -27.550
      3.143    -47.700     93.090    -41.500    -34.260     82.070    -30.710
      3.214    -50.140     99.140    -43.670    -36.940     85.630    -29.980
      3.286    -52.270    105.590    -45.730    -39.280     88.360    -29.770
      3.357    -55.720    112.370    -47.920    -43.440     98.030    -31.600
      3.429    -58.780    119.980    -50.130    -43.970    110.510    -30.760
      3.500    -61.730    128.250    -52.270    -41.440    120.960    -29.580
      3.571    -64.780    137.300    -54.360    -41.780    132.280    -28.860
      3.643    -67.790    147.410    -56.320    -42.820    148.930    -28.240
      3.714    -70.900    158.830    -58.070    -42.210    169.490    -21.180
      3.786    -74.150    171.740    -59.260    -43.150    192.800    -11.100
      3.857    -77.000    186.710    -59.400    -36.200    226.880      9.410
      3.929    -78.630    204.410    -57.240     -4.970    265.690     57.300
      4.000    -76.760    223.120    -50.350     58.940    246.270    129.980
      4.071    -71.280    238.280    -40.060     89.800    182.480    147.920
      4.143    -64.430    249.440    -30.150     86.250    125.500    129.000
      4.214    -58.670    257.240    -21.890     76.530     89.000    104.760
      4.286    -53.730    262.470    -15.130     66.750     64.830     85.610
      4.357    -49.090    266.320     -9.700     62.560     44.490     71.450
