#         t          x          y          z         vx         vy         vz
       0.0000     -98.4500    -120.0300    -127.8100     -27.7000     174.1200      92.4900
       0.0500     -98.0291    -109.2169    -120.8912      44.5359     258.4030     184.2628
       0.1000     -93.6590     -94.0243    -109.0959     130.2681     349.3023     287.5471
       0.1500     -84.3732     -73.9435     -91.5780     241.1657     453.9307     413.1705
       0.2000     -68.1889     -47.9504     -66.6114     406.2035     585.7925     585.4936
       0.2500     -39.6523     -13.9396     -29.8699     735.2617     774.6386     884.1671
       0.3000      45.0164      12.5712      35.8996    2651.4871     285.7928    1746.6125
       0.3500     172.6292      25.9819     119.6595    2453.0262     250.6381    1603.7843
       0.4000     293.6558      38.2899     198.7364    2388.0338     241.6796    1559.2917
       0.4500     412.2463      50.2721     276.1545    2355.5871     237.6089    1537.4297
       0.5000     529.5376      62.0943     352.6997    2336.0663     235.2798    1524.3807
       0.5500     646.0143      73.8206     428.7015    2323.0031     233.7695    1515.6900
       0.6000     761.9303      85.4825     504.3307    2313.6359     232.7096    1509.4780
       0.6500     877.4358      97.0984     579.6880    2306.5845     231.9243    1504.8125
       0.7000     992.6275     108.6795     654.8377    2301.0813     231.3187    1501.1777
       0.7500    1107.5711     120.2334     729.8238    2296.6651     230.8374    1498.2648
       0.8000    1222.3138     131.7654     804.6773    2293.0415     230.4454    1495.8773
       0.8500    1336.8902     143.2796     879.4214    2290.0141     230.1201    1493.8843
       0.9000    1451.3267     154.7787     954.0734    2287.4465     229.8456    1492.1953
       0.9500    1565.6439     166.2651    1028.6469    2285.2409     229.6109    1490.7454
       1.0000    1679.8580     177.7406    1103.1527    2283.3256     229.4079    1489.4869
       1.0500    1793.9823     189.2065    1177.5995    2281.6466     229.2305    1488.3843
       1.1000    1908.0276     200.6642    1251.9943    2280.1627     229.0743    1487.4102
       1.1500    2022.0027     212.1144    1326.3432    2278.8416     228.9355    1486.5433
       1.2000    2135.9152     223.5581    1400.6509    2277.6579     228.8115    1485.7668
       1.2500    2249.7714     234.9959    1474.9218    2276.5911     228.6999    1485.0672
       1.3000    2363.5768     246.4283    1549.1593    2275.6247     228.5991    1484.4336
       1.3500    2477.3360     257.8560    1623.3666    2274.7451     228.5075    1483.8570
       1.4000    2591.0532     269.2793    1697.5462    2273.9411     228.4238    1483.3301
       1.4500    2704.7318     280.6986    1771.7007    2273.2034     228.3472    1482.8467
       1.5000    2818.3750     292.1142    1845.8319    2272.5240     228.2768    1482.4017
       1.5500    2931.9855     303.5264    1919.9417    2271.8963     228.2117    1481.9905
       1.6000    3045.5658     314.9355    1994.0317    2271.3145     228.1515    1481.6095
       1.6500    3159.1180     326.3416    2068.1033    2270.7739     228.0957    1481.2555
       1.7000    3272.6441     337.7451    2142.1578    2270.2701     228.0437    1480.9258
       1.7500    3386.1458     349.1461    2216.1964    2269.7996     227.9951    1480.6177
       1.8000    3499.6248     360.5447    2290.2201    2269.3592     227.9497    1480.3294
       1.8500    3613.0824     371.9411    2364.2298    2268.9459     227.9072    1480.0590
       1.9000    3726.5200     383.3355    2438.2264    2268.5575     227.8672    1479.8048
       1.9500    3839.9387     394.7279    2512.2107    2268.1917     227.8296    1479.5654
       2.0000    3953.3397     406.1185    2586.1833    2267.8466     227.7941    1479.3396
       2.0500    4066.7239     417.5074    2660.1449    2267.5205     227.7606    1479.1263
       2.1000    4180.0922     428.8946    2734.0962    2267.2118     227.7289    1478.9244
       2.1500    4293.4455     440.2803    2808.0376    2266.9192     227.6989    1478.7330
       2.2000    4406.7845     451.6645    2881.9697    2266.6415     227.6705    1478.5514
       2.2500    4520.1100     463.0474    2955.8930    2266.3776     227.6434    1478.3787
       2.3000    4633.4226     474.4289    3029.8078    2266.1264     227.6177    1478.2144
       2.3500    4746.7229     485.8092    3103.7146    2265.8871     227.5932    1478.0579
       2.4000    4860.0115     497.1883    3177.6138    2265.6588     227.5698    1477.9086
       2.4500    4973.2890     508.5662    3251.5057    2265.4407     227.5475    1477.7661
       2.5000    5086.5559     519.9430    3325.3906    2265.2323     227.5262    1477.6298
       2.5500    5199.8125     531.3188    3399.2688    2265.0329     227.5058    1477.4994
       2.6000    5313.0594     542.6937    3473.1407    2264.8419     227.4863    1477.3746
       2.6500    5426.2969     554.0675    3547.0064    2264.6588     227.4676    1477.2549
       2.7000    5539.5254     565.4404    3620.8663    2264.4831     227.4497    1477.1400
       2.7500    5652.7454     576.8125    3694.7205    2264.3143     227.4325    1477.0297
       2.8000    5765.9570     588.1837    3768.5693    2264.1522     227.4159    1476.9237
       2.8500    5879.1607     599.5541    3842.4130    2263.9962     227.4000    1476.8217
       2.9000    5992.3568     610.9237    3916.2516    2263.8460     227.3847    1476.7236
       2.9500    6105.5455     622.2926    3990.0854    2263.7014     227.3700    1476.6291
       3.0000    6218.7271     633.6607    4063.9146    2263.5620     227.3558    1476.5380
       3.0500    6331.9018     645.0282    4137.7393    2263.4275     227.3421    1476.4501
       3.1000    6445.0699     656.3949    4211.5597    2263.2978     227.3288    1476.3653
       3.1500    6558.2317     667.7611    4285.3759    2263.1724     227.3161    1476.2834
       3.2000    6671.3873     679.1266    4359.1881    2263.0513     227.3037    1476.2042
       3.2500    6784.5369     690.4915    4432.9964    2262.9342     227.2918    1476.1277
       3.3000    6897.6808     701.8558    4506.8009    2262.8209     227.2803    1476.0537
       3.3500    7010.8191     713.2195    4580.6018    2262.7112     227.2691    1475.9820
       3.4000    7123.9520     724.5827    4654.3992    2262.6050     227.2583    1475.9126
       3.4500    7237.0797     735.9453    4728.1931    2262.5021     227.2479    1475.8453
       3.5000    7350.2023     747.3075    4801.9838    2262.4023     227.2377    1475.7801
       3.5500    7463.3200     758.6691    4875.7712    2262.3055     227.2279    1475.7169
       3.6000    7576.4329     770.0303    4949.5555    2262.2116     227.2183    1475.6556
       3.6500    7689.5412     781.3909    5023.3368    2262.1204     227.2091    1475.5960
       3.7000    7802.6450     792.7512    5097.1151    2262.0319     227.2001    1475.5382
       3.7500    7915.7445     804.1110    5170.8906    2261.9459     227.1913    1475.4820
       3.8000    8028.8397     815.4703    5244.6634    2261.8622     227.1828    1475.4273
       3.8500    8141.9307     826.8293    5318.4334    2261.7809     227.1746    1475.3742
       3.9000    8255.0178     838.1878    5392.2008    2261.7018     227.1665    1475.3225
       3.9500    8368.1010     849.5459    5465.9657    2261.6249     227.1587    1475.2723
       4.0000    8481.1803     860.9037    5539.7281    2261.5499     227.1511    1475.2233
       4.0500    8594.2560     872.2610    5613.4881    2261.4769     227.1437    1475.1756
       4.1000    8707.3281     883.6180    5687.2457    2261.4058     227.1365    1475.1292
       4.1500    8820.3966     894.9747    5761.0010    2261.3366     227.1295    1475.0840
       4.2000    8933.4618     906.3310    5834.7541    2261.2690     227.1226    1475.0398
       4.2500    9046.5236     917.6870    5908.5050    2261.2032     227.1159    1474.9968
       4.3000    9159.5821     929.0426    5982.2538    2261.1389     227.1094    1474.9549
       4.3500    9272.6375     940.3979    6056.0005    2261.0762     227.1031    1474.9139
       4.4000    9385.6898     951.7529    6129.7452    2261.0150     227.0969    1474.8740
       4.4500    9498.7391     963.1076    6203.4880    2260.9553     227.0908    1474.8349
       4.5000    9611.7854     974.4620    6277.2288    2260.8970     227.0849    1474.7968
       4.5500    9724.8288     985.8161    6350.9677    2260.8400     227.0791    1474.7596
       4.6000    9837.8694     997.1699    6424.7047    2260.7843     227.0735    1474.7232
       4.6500    9950.9073    1008.5234    6498.4400    2260.7299     227.0679    1474.6877
       4.7000   10063.9424    1019.8767    6572.1735    2260.6766     227.0626    1474.6529
       4.7500   10176.9749    1031.2297    6645.9053    2260.6246     227.0573    1474.6190
       4.8000   10290.0049    1042.5824    6719.6354    2260.5737     227.0521    1474.5857
       4.8500   10403.0323    1053.9349    6793.3639    2260.5239     227.0471    1474.5532
       4.9000   10516.0573    1065.2871    6867.0908    2260.4752     227.0421    1474.5214
       4.9500   10629.0799    1076.6391    6940.8161    2260.4275     227.0373    1474.4902
       5.0000   10742.1001    1087.9909    7014.5398    2260.3808     227.0326    1474.4597
       5.0500   10855.1180    1099.3424    7088.2621    2260.3350     227.0279    1474.4298
       5.1000   10968.1336    1110.6937    7161.9828    2260.2902     227.0234    1474.4006
       5.1500   11081.1470    1122.0447    7235.7021    2260.2463     227.0190    1474.3719
       5.2000   11194.1583    1133.3956    7309.4200    2260.2033     227.0146    1474.3438
       5.2500   11307.1674    1144.7462    7383.1365    2260.1612     227.0103    1474.3163
       5.3000   11420.1744    1156.0966    7456.8517    2260.1198     227.0062    1474.2893
       5.3500   11533.1794    1167.4468    7530.5655    2260.0793     227.0021    1474.2629
       5.4000   11646.1824    1178.7968    7604.2780    2260.0396     226.9980    1474.2369
       5.4500   11759.1834    1190.1466    7677.9892    2260.0006     226.9941    1474.2115
       5.5000   11872.1824    1201.4962    7751.6991    2259.9624     226.9902    1474.1865
       5.5500   11985.1796    1212.8456    7825.4078    2259.9249     226.9864    1474.1620
       5.6000   12098.1749    1224.1949    7899.1153    2259.8880     226.9827    1474.1380
       5.6500   12211.1684    1235.5439    7972.8217    2259.8519     226.9790    1474.1144
       5.7000   12324.1601    1246.8928    8046.5268    2259.8164     226.9754    1474.0912
       5.7500   12437.1501    1258.2414    8120.2308    2259.7816     226.9719    1474.0685
       5.8000   12550.1383    1269.5900    8193.9336    2259.7474     226.9685    1474.0461
       5.8500   12663.1248    1280.9383    8267.6354    2259.7137     226.9651    1474.0242
       5.9000   12776.1097    1292.2865    8341.3361    2259.6807     226.9617    1474.0026
       5.9500   12889.0929    1303.6345    8415.0357    2259.6483     226.9584    1473.9814
       6.0000   13002.0746    1314.9823    8488.7342    2259.6164     226.9552    1473.9606
       6.0500   13115.0546    1326.3300    8562.4317    2259.5851     226.9520    1473.9402
       6.1000   13228.0331    1337.6775    8636.1283    2259.5543     226.9489    1473.9201
       6.1500   13341.0100    1349.0249    8709.8238    2259.5240     226.9459    1473.9003
       6.2000   13453.9855    1360.3721    8783.5183    2259.4942     226.9429    1473.8809
       6.2500   13566.9595    1371.7192    8857.2119    2259.4649     226.9399    1473.8617
       6.3000   13679.9320    1383.0661    8930.9045    2259.4361     226.9370    1473.8429
       6.3500   13792.9031    1394.4129    9004.5962    2259.4078     226.9341    1473.8244
       6.4000   13905.8728    1405.7595    9078.2869    2259.3800     226.9313    1473.8062
       6.4500   14018.8411    1417.1060    9151.9768    2259.3525     226.9285    1473.7883
       6.5000   14131.8081    1428.4524    9225.6658    2259.3255     226.9258    1473.7707
       6.5500   14244.7737    1439.7986    9299.3539    2259.2990     226.9231    1473.7534
       6.6000   14357.7380    1451.1447    9373.0411    2259.2728     226.9205    1473.7363
       6.6500   14470.7010    1462.4906    9446.7275    2259.2471     226.9179    1473.7195
       6.7000   14583.6627    1473.8365    9520.4131    2259.2218     226.9153    1473.7030
       6.7500   14696.6231    1485.1822    9594.0978    2259.1968     226.9128    1473.6867
       6.8000   14809.5824    1496.5278    9667.7817    2259.1723     226.9103    1473.6707
       6.8500   14922.5404    1507.8732    9741.4649    2259.1481     226.9079    1473.6549
       6.9000   15035.4972    1519.2185    9815.1472    2259.1242     226.9055    1473.6393
       6.9500   15148.4528    1530.5638    9888.8288    2259.1007     226.9031    1473.6240
       7.0000   15261.4073    1541.9088    9962.5096    2259.0776     226.9008    1473.6089
       7.0500   15374.3606    1553.2538   10036.1897    2259.0548     226.8984    1473.5940
       7.1000   15487.3128    1564.5987   10109.8690    2259.0323     226.8962    1473.5793
       7.1500   15600.2638    1575.9434   10183.5476    2259.0102     226.8939    1473.5648
       7.2000   15713.2138    1587.2881   10257.2255    2258.9884     226.8917    1473.5506
       7.2500   15826.1627    1598.6326   10330.9027    2258.9668     226.8896    1473.5366
       7.3000   15939.1105    1609.9770   10404.5792    2258.9456     226.8874    1473.5227
       7.3500   16052.0572    1621.3214   10478.2550    2258.9247     226.8853    1473.5091
       7.4000   16165.0030    1632.6656   10551.9301    2258.9041     226.8832    1473.4956
       7.4500   16277.9476    1644.0097   10625.6045    2258.8838     226.8812    1473.4823
