#         t          x          y          z         vx         vy         vz
       0.0000     -98.4500    -120.0300    -127.8100     -27.7000     174.1200      92.4900
       0.0714     -97.7874    -104.5700    -117.8844      46.2518     258.7602     185.4265
       0.1429     -91.0954     -82.7273    -100.7013     141.1240     352.8360     295.7012
       0.2143     -75.9761     -53.4184     -74.2706     282.2179     467.8126     444.3567
       0.2857     -45.6578     -14.3432     -33.4260     566.6936     626.2925     699.2919
       0.3571      51.1553      12.6077      38.8409    2144.0745     128.3339    1324.1838
       0.4286     198.1742      20.9495     129.2678    1972.4538     105.2355    1207.7666
       0.5000     337.1117      28.2868     214.2811    1917.7963     100.2080    1172.6067
       0.5714     473.1331      35.3687     297.4290    1890.8019      98.0872    1155.5345
       0.6429     607.6136      42.3335     379.6055    1874.6537      96.9262    1145.4082
       0.7143     741.1329      49.2307     461.1805    1863.8855      96.1952    1138.6902
       0.7857     873.9924      56.0838     542.3444    1856.1824      95.6929    1133.9010
       0.8571    1006.3702      62.9060     623.2091    1850.3937      95.3266    1130.3108
       0.9286    1138.3800      69.7050     703.8459    1845.8819      95.0476    1127.5179
       1.0000    1270.0995      76.4863     784.3030    1842.2650      94.8281    1125.2821
       1.0714    1401.5840      83.2534     864.6149    1839.2997      94.6508    1123.4513
       1.1429    1532.8741      90.0090     944.8069    1836.8240      94.5046    1121.9242
       1.2143    1664.0009      96.7549    1024.8981    1834.7253      94.3820    1120.6307
       1.2857    1794.9883     103.4928    1104.9036    1832.9235      94.2777    1119.5210
       1.3571    1925.8556     110.2237    1184.8350    1831.3595      94.1879    1118.5583
       1.4286    2056.6180     116.9486    1264.7019    1829.9890      94.1097    1117.7151
       1.5000    2187.2883     123.6683    1344.5121    1828.7780      94.0410    1116.9704
       1.5714    2317.8768     130.3833    1424.2720    1827.7003      93.9803    1116.3079
       1.6429    2448.3923     137.0943    1503.9871    1826.7348      93.9261    1115.7146
       1.7143    2578.8423     143.8015    1583.6619    1825.8649      93.8775    1115.1802
       1.7857    2709.2331     150.5055    1663.3004    1825.0770      93.8336    1114.6963
       1.8571    2839.5701     157.2065    1742.9058    1824.3600      93.7939    1114.2561
       1.9286    2969.8582     163.9048    1822.4812    1823.7048      93.7577    1113.8539
       2.0000    3100.1013     170.6005    1902.0290    1823.1036      93.7245    1113.4850
       2.0714    3230.3032     177.2941    1981.5515    1822.5500      93.6941    1113.1453
       2.1429    3360.4671     183.9855    2061.0507    1822.0386      93.6661    1112.8316
       2.2143    3490.5958     190.6750    2140.5282    1821.5648      93.6402    1112.5409
       2.2857    3620.6919     197.3627    2219.9858    1821.1244      93.6161    1112.2709
       2.3571    3750.7575     204.0488    2299.4248    1820.7142      93.5938    1112.0193
       2.4286    3880.7949     210.7333    2378.8463    1820.3310      93.5730    1111.7844
       2.5000    4010.8057     217.4164    2458.2516    1819.9724      93.5535    1111.5646
       2.5714    4140.7917     224.0982    2537.6417    1819.6359      93.5353    1111.3583
       2.6429    4270.7544     230.7786    2617.0176    1819.3197      93.5182    1111.1645
       2.7143    4400.6952     237.4579    2696.3799    1819.0219      93.5021    1110.9820
       2.7857    4530.6153     244.1361    2775.7296    1818.7410      93.4870    1110.8099
       2.8571    4660.5159     250.8132    2855.0674    1818.4755      93.4727    1110.6473
       2.9286    4790.3980     257.4894    2934.3939    1818.2243      93.4591    1110.4933
       3.0000    4920.2626     264.1646    3013.7096    1817.9862      93.4464    1110.3475
       3.0714    5050.1107     270.8389    3093.0152    1817.7601      93.4342    1110.2090
       3.1429    5179.9431     277.5123    3172.3111    1817.5453      93.4227    1110.0775
       3.2143    5309.7604     284.1850    3251.5979    1817.3409      93.4118    1109.9523
       3.2857    5439.5635     290.8569    3330.8760    1817.1462      93.4013    1109.8330
       3.3571    5569.3531     297.5281    3410.1457    1816.9604      93.3914    1109.7192
       3.4286    5699.1296     304.1985    3489.4075    1816.7830      93.3819    1109.6106
       3.5000    5828.8938     310.8684    3568.6617    1816.6135      93.3729    1109.5068
       3.5714    5958.6461     317.5375    3647.9086    1816.4512      93.3642    1109.4075
       3.6429    6088.3871     324.2061    3727.1486    1816.2958      93.3560    1109.3123
       3.7143    6218.1172     330.8741    3806.3819    1816.1468      93.3480    1109.2211
       3.7857    6347.8368     337.5416    3885.6089    1816.0039      93.3404    1109.1336
       3.8571    6477.5465     344.2085    3964.8297    1815.8666      93.3331    1109.0496
       3.9286    6607.2465     350.8749    4044.0446    1815.7347      93.3261    1108.9688
       4.0000    6736.9373     357.5408    4123.2539    1815.6078      93.3194    1108.8912
       4.0714    6866.6193     364.2062    4202.4578    1815.4857      93.3129    1108.8164
       4.1429    6996.2926     370.8712    4281.6564    1815.3681      93.3067    1108.7444
       4.2143    7125.9577     377.5358    4360.8499    1815.2547      93.3007    1108.6750
       4.2857    7255.6148     384.1999    4440.0386    1815.1453      93.2949    1108.6081
       4.3571    7385.2643     390.8636    4519.2226    1815.0398      93.2893    1108.5435
       4.4286    7514.9064     397.5270    4598.4020    1814.9378      93.2839    1108.4811
       4.5000    7644.5413     404.1899    4677.5771    1814.8393      93.2787    1108.4208
       4.5714    7774.1692     410.8525    4756.7480    1814.7441      93.2737    1108.3625
       4.6429    7903.7905     417.5147    4835.9147    1814.6519      93.2688    1108.3062
       4.7143    8033.4053     424.1766    4915.0775    1814.5627      93.2641    1108.2516
       4.7857    8163.0139     430.8382    4994.2364    1814.4763      93.2595    1108.1987
       4.8571    8292.6163     437.4994    5073.3916    1814.3926      93.2551    1108.1475
       4.9286    8422.2129     444.1603    5152.5433    1814.3115      93.2508    1108.0979
       5.0000    8551.8038     450.8209    5231.6914    1814.2328      93.2467    1108.0497
       5.0714    8681.3891     457.4813    5310.8361    1814.1564      93.2426    1108.0030
       5.1429    8810.9691     464.1413    5389.9776    1814.0823      93.2387    1107.9577
       5.2143    8940.5438     470.8011    5469.1158    1814.0103      93.2349    1107.9136
       5.2857    9070.1135     477.4606    5548.2510    1813.9404      93.2313    1107.8708
       5.3571    9199.6782     484.1199    5627.3831    1813.8724      93.2277    1107.8292
       5.4286    9329.2382     490.7789    5706.5124    1813.8063      93.2242    1107.7888
       5.5000    9458.7935     497.4376    5785.6387    1813.7419      93.2208    1107.7494
       5.5714    9588.3442     504.0961    5864.7623    1813.6794      93.2175    1107.7112
       5.6429    9717.8906     510.7544    5943.8832    1813.6184      93.2143    1107.6739
       5.7143    9847.4326     517.4125    6023.0015    1813.5591      93.2112    1107.6376
       5.7857    9976.9705     524.0703    6102.1172    1813.5013      93.2082    1107.6022
       5.8571   10106.5043     530.7279    6181.2304    1813.4450      93.2052    1107.5678
       5.9286   10236.0341     537.3853    6260.3412    1813.3901      93.2023    1107.5342
       6.0000   10365.5601     544.0425    6339.4496    1813.3365      93.1995    1107.5015
       6.0714   10495.0822     550.6995    6418.5557    1813.2843      93.1968    1107.4695
       6.1429   10624.6007     557.3564    6497.6596    1813.2333      93.1941    1107.4383
       6.2143   10754.1156     564.0130    6576.7612    1813.1836      93.1915    1107.4079
       6.2857   10883.6270     570.6694    6655.8607    1813.1350      93.1890    1107.3782
       6.3571   11013.1349     577.3257    6734.9581    1813.0876      93.1865    1107.3492
       6.4286   11142.6395     583.9818    6814.0535    1813.0412      93.1840    1107.3209
       6.5000   11272.1409     590.6377    6893.1469    1812.9960      93.1817    1107.2932
       6.5714   11401.6390     597.2935    6972.2383    1812.9517      93.1793    1107.2661
       6.6429   11531.1340     603.9490    7051.3277    1812.9085      93.1771    1107.2397
       6.7143   11660.6260     610.6045    7130.4154    1812.8662      93.1749    1107.2138
       6.7857   11790.1149     617.2597    7209.5012    1812.8248      93.1727    1107.1885
       6.8571   11919.6010     623.9149    7288.5852    1812.7843      93.1706    1107.1637
       6.9286   12049.0841     630.5698    7367.6674    1812.7447      93.1685    1107.1395
       7.0000   12178.5645     637.2246    7446.7480    1812.7059      93.1665    1107.1158
