#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.100   -101.051   -102.228   -118.014    -20.583    181.321    102.094
      0.200   -102.619    -83.719   -107.304    -10.789    188.861    112.100
      0.300   -103.079    -64.462    -95.528      1.590    196.280    123.431
      0.400   -102.128    -44.495    -82.544     17.439    203.056    136.240
      0.500    -99.359    -23.933    -68.205     37.931    208.177    150.536
      0.600    -94.240     -3.037    -52.384     64.452    209.751    165.893
      0.700    -86.115     17.676    -35.047     98.040    204.503    180.840
      0.800    -74.331     37.293    -16.407    137.651    187.843    191.964
      0.900    -58.579     54.510      2.892    177.382    156.490    194.020
      1.000    -39.363     68.045     21.731    206.948    114.214    182.755
      1.100    -17.981     77.296     38.988    220.689     70.806    162.391
      1.200      4.108     82.507     54.047    221.081     33.406    138.788
      1.300     25.825     84.370     66.779    213.263      3.865    115.841
      1.400     46.549     83.627     77.325    201.213    -18.719     95.079
      1.500     65.973     80.899     85.918    187.266    -35.856     76.777
      1.600     83.969     76.662     92.793    172.656    -48.885     60.737
      1.700    100.501     71.276     98.162    157.995    -58.820     46.637
      1.800    115.580     65.015    102.202    143.575    -66.398     34.162
      1.900    129.234     58.088    105.062    129.515    -72.147     23.041
      2.000    141.503     50.659    106.867    115.852    -76.446     13.053
      2.100    152.424     42.858    107.720    102.578    -79.572      4.016
      2.200    162.036     34.793    107.711     89.666    -81.724     -4.211
      2.300    170.373     26.554    106.913     77.076    -83.053    -11.743
      2.400    177.466     18.218    105.392     64.767    -83.671    -18.674
      2.500    183.339      9.851    103.204     52.698    -83.658    -25.079
      2.600    188.015      1.514    100.399     40.827    -83.079    -31.018
      2.700    191.512     -6.738     97.021     29.113    -81.979    -36.544
      2.800    193.843    -14.857     93.109     17.515    -80.391    -41.698
      2.900    195.019    -22.793     88.698      5.989    -78.338    -46.519
      3.000    195.042    -30.502     83.821     -5.512    -75.830    -51.038
      3.100    193.915    -37.937     78.505    -17.040    -72.867    -55.283
      3.200    191.630    -45.052     72.777    -28.655    -69.435    -59.276
      3.300    188.176    -51.799     66.661    -40.423    -65.505    -63.035
      3.400    183.534    -58.125     60.181    -52.420    -61.027    -66.569
      3.500    177.676    -63.973     53.359    -64.731    -55.930    -69.877
      3.600    170.567    -69.275     46.217    -77.453    -50.114    -72.947
      3.700    162.160    -73.953     38.782    -90.696    -43.440    -75.752
      3.800    152.396    -77.911     31.083   -104.586    -35.720    -78.237
      3.900    141.203    -81.032     23.155   -119.270    -26.694    -80.318
      4.000    128.494    -83.166     15.047   -134.915    -15.996    -81.851
      4.100    114.163    -84.121      6.824   -151.706     -3.102    -82.603
      4.200     98.086    -83.638     -1.415   -169.826     12.766    -82.176
      4.300     80.127    -81.361     -9.504   -189.356     32.770    -79.602
      4.400     60.156    -76.787    -17.173   -210.068     58.722    -73.784
      4.500     38.116    -69.178    -23.973   -230.722     93.445    -62.210
      4.600     14.240    -57.467    -29.080   -246.809    140.776    -39.940
      4.700    -10.318    -40.341    -31.014   -244.334    201.746      1.266
      4.800    -32.357    -17.487    -27.844   -196.465    255.326     62.124
      4.900    -47.823      8.244    -19.255   -112.841    259.298    109.658
      5.000    -55.563     32.567     -7.446    -41.969    227.169    126.533
      5.100    -57.344     53.269      5.167      6.352    186.866    125.714
      5.200    -55.103     70.023     17.284     38.467    148.220    116.628
      5.300    -50.166     83.077     28.341     60.279    112.863    104.513
      5.400    -43.389     92.747     38.113     75.259     80.536     90.935
      5.500    -35.357     99.307     46.485     85.390     50.652     76.505
      5.600    -26.496    102.972     53.382     91.822     22.650     61.435
      5.700    -17.143    103.907     58.742     95.231     -3.942     45.757
      5.800     -7.581    102.233     62.499     96.014    -29.538     29.398
      5.900      1.937     98.028     64.578     94.356    -54.565     12.173
      6.000     11.165     91.325     64.874     90.203    -79.500     -6.261
      6.100     19.833     82.106     63.238     83.145   -104.870    -26.460
      6.200     27.600     70.302     59.451     72.213   -131.216    -49.273
      6.300     33.984     55.792     53.188     55.456   -158.982    -75.996
      6.400     38.201     38.437     43.955     28.878   -188.115   -108.655
      6.500     38.823     18.226     31.010    -16.425   -216.105   -150.242
      6.600     32.937     -3.949     13.415   -101.292   -227.395   -201.667
      6.700     16.132    -22.802     -7.767   -234.826   -149.662   -221.968
      6.800     -7.946    -32.153    -26.126   -246.730    -37.363   -145.211
      6.900    -30.652    -32.994    -37.609   -207.383     20.539    -84.448
      7.000    -49.161    -29.411    -43.886   -162.809     51.133    -41.096
      7.100    -63.282    -23.443    -46.349   -119.599     68.226     -8.166
      7.200    -73.159    -16.164    -45.843    -77.943     77.359     18.284
      7.300    -78.910     -8.251    -42.912    -37.070     80.896     40.337
      7.400    -80.568     -0.210    -37.936      3.895     79.917     59.195
      7.500    -78.062      7.528    -31.187     46.229     74.852     75.784
      7.600    -71.138     14.525    -22.858     92.257     65.073     90.783
      7.700    -59.235     20.168    -13.116    145.797     47.794    104.063
      7.800    -41.272     23.304     -2.255    213.466     14.917    113.164
      7.900    -15.356     20.960      8.166    304.867    -61.794     95.252
      8.000     15.564      6.084     10.747    313.527   -235.721    -43.640
      8.100     39.712    -16.054      4.169    169.430   -207.035    -87.911
      8.200     52.794    -34.520     -4.493     92.217   -162.292    -85.342
      8.300     59.516    -48.784    -12.529     42.220   -122.991    -75.371
      8.400     61.880    -59.314    -19.468      5.065    -87.597    -63.399
      8.500     60.895    -66.406    -25.144    -24.775    -54.256    -50.139
      8.600     57.170    -70.204    -29.429    -49.714    -21.688    -35.555
      8.700     51.131    -70.749    -32.190    -71.076     10.777    -19.656
      8.800     43.043    -67.994    -33.285    -90.688     44.328     -2.256
      8.900     33.007    -61.688    -32.488   -110.018     81.789     18.194
      9.000     21.032    -51.213    -29.330   -129.489    127.719     44.977
      9.100      7.182    -35.228    -22.767   -147.523    191.975     86.286
      9.200     -7.389    -10.193     -9.567   -143.891    308.717    177.713
      9.300     -5.978     16.725     11.815    172.118    229.661    249.914
      9.400     10.656     34.822     32.368    160.555    132.272    161.149
      9.500     25.432     45.448     45.860    134.968     80.248    108.700
      9.600     37.677     51.693     54.831    109.924     44.653     70.706
      9.700     47.464     54.777     60.360     85.825     17.021     39.875
      9.800     54.852     55.325     63.005     61.929     -6.062     13.025
      9.900     59.820     53.717     63.087     37.434    -26.091    -11.375
     10.000     62.301     50.230     60.824     12.179    -43.655    -33.883
     10.100     62.226     45.032     56.340    -13.679    -60.313    -55.797
